Year,Austria,Belgium,Bulgaria,Republic of Cyprus,Czech Republic,Germany,Denmark,Euro area,Spain,Estonia,Finland,France,United Kingdom,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Sweden
2011,1.83341024455663,1.8072994675872,6.11282991673312,1.61710657996737,-0.02057195800937,1.06948374534943,0.638643467690599,1.61214178173041,-0.0197393356852871,5.4737367852274,2.6235333499222,0.947960225382971,2.18918472084017,0.959017980521224,1.66784483657254,1.92872070289376,1.34971815484857,1.60717698349345,5.34995229795771,3.44946167967612,6.52344087085697,1.12390162845077,0.193652086824386,3.116063878264,-0.265123394841666,3.97694334974207,1.67683127093341,1.04001500712062,1.08835940037071
2012,2.05423568508493,1.9611193413831,1.11217894674517,1.6752701237629,1.45092107055808,1.49648883779834,2.37518362751084,1.61128578207012,-0.114607765550261,4.07217562273708,2.97397234009919,1.16182503173519,1.53880362771224,-0.275142403452051,1.42048644734874,2.89276167816158,2.10827297466658,1.54730144037734,2.7342534936864,3.26597731840673,3.63399957602259,2.14609698531112,1.44610956661077,2.22424772645388,-0.388196360131744,3.80309318523845,1.26036765261691,0.479044260876066,1.00142202301616
2013,1.62388806972808,1.27125815498337,0.0719515178029013,-0.945904602145504,1.36470473782452,1.95939168302444,0.888170882360484,1.28065964076939,0.397676429490559,4.03124999019823,2.55829450973857,0.778100531144062,2.11706397502103,-2.04562420707737,0.740846318565218,2.82053189026186,1.13326028645875,1.14761015891955,1.28133222727745,2.27602449452651,1.71841948890339,2.27617130776592,1.27998705426134,0.219665134655173,2.24865489225866,1.38968711500371,0.509379119518826,1.60035593502236,0.927395691401983
2014,2.17570723682326,0.982645554501687,1.34078333993489,-1.33377854658193,2.57853631569476,1.87793985374911,1.03210857831324,0.769094216788666,-0.223722667699661,2.91561332318757,1.63162333665335,0.576944232991778,1.31777821360919,-1.9387546208597,0.147556266264544,3.6927260947232,0.18200739255802,0.913241261981469,0.833592064248663,2.79670220085781,1.915588014642,2.342729170254,0.253185732004795,0.465461479388424,0.704596369328669,1.71026429315515,-0.192780594130198,0.456031615681681,1.74453129158347
2015,2.30097866680524,1.33038612835179,2.94774587270894,-0.75404810119133,0.992276160290274,1.85367882408802,0.433060802052097,1.02074215778326,0.545318262109149,1.03644083022607,1.61674649704926,1.13824878533235,0.660990521413524,-0.293730433148639,0.0919067892751713,2.7757419080134,8.30014134761103,0.931863574759717,0.0636827914669311,2.21918065733098,0.115712474014657,4.22011821696327,0.772727976651382,1.31704293664644,2.01996442826523,3.26475427441173,-0.216504525651942,1.00504348534045,2.12118024509547
2016,1.84829469843848,1.92085069495049,3.32355974481327,-0.572261903878569,1.14145060120347,1.32775222269545,0.25459516653126,0.723620788594381,0.32209801213854,2.18730990746438,0.0874254582934526,0.522559343400445,1.96479827407785,-0.5785807515839,-0.0612118610034429,1.3204719948326,0.583849082631687,1.13435002037254,1.57625277213522,-1.1076169264046,0.863392494557075,1.99701751671788,0.454667288773308,0.0872763880105083,1.71666254687131,2.62128680850675,-0.512295855894507,0.874115426326341,1.52560991398094
2017,1.0055341594591,1.83027279601211,4.81312048422326,1.03844284555774,1.30694431650136,1.50373898915133,1.18466161152733,1.27995949563481,1.29921183318382,3.59036501479098,0.819262897258781,0.521577263305687,1.85654104667935,0.285406259345564,1.16593721117815,4.02970505144422,1.25108346816501,0.726343220957816,4.24343178964807,2.14290399690169,2.94787720841359,2.13678435740914,1.26070715808579,1.76210628965667,1.51191039440322,4.65196859673524,1.21580198812519,1.4640640238877,2.13515182451252
2018,1.83806444755734,1.54983152485374,4.23460549792284,1.00386652221141,2.56757397075347,2.00749244131613,0.747856838144173,1.91995036202719,1.24555241777706,4.83777941523971,2.00183627649704,0.9922245663778,1.92205239358366,-0.165244042297104,2.02833474717856,4.847425391946,1.12003223626651,1.06813204686947,3.52717427534756,2.11133910459871,3.89257047226215,1.73279776847993,2.43709074520527,1.22964095424449,1.8129967517081,6.21227261174357,2.03478779529047,2.1125914748453,2.39692033450507
2019,1.60787622974401,1.76809741631743,5.23925655379578,1.32507750095616,3.88895344602105,2.13030905148273,1.04879424424314,1.88658918877021,1.44735843001939,3.20705842626813,1.49655419230197,1.27859214632949,2.11573274293868,0.226845195063973,2.00508096122299,4.78502518079389,3.35541152264082,0.938114135013862,2.77156306285475,0.900736076793322,4.25589850087644,2.29750730515386,3.03273379248688,3.03253664890715,1.74945223999291,6.80532496653751,2.49431822113719,2.29485081978052,2.54687548145611
2020,2.71949516223945,1.59949112109568,4.26010568588524,-1.36371554250506,4.31840283925935,1.87258564805592,2.92632531177568,1.66312333873056,1.13764340211205,-0.531509461698576,1.63467899810999,2.83987619551208,5.08362342906076,-0.751947346018426,0.750835156747897,6.40166854073203,-1.23404262978538,1.57917145706057,1.89196476010981,4.3010148081047,2.07082155607836,1.69156767935112,1.92857201636885,4.25503894138546,2.00347512182442,4.10931518447222,2.37079752983892,1.12405804947954,1.99404592785966
2021,2.06821009880306,3.17198189564809,7.13449171826458,2.68580578010595,3.32780959196783,3.01963807375267,2.85668370046885,2.52714069704315,2.65632420170878,5.99690607967077,2.39795719237752,1.42394826984793,-0.120427085491656,1.48532025418626,1.50774985934781,6.44509799276666,0.477482551429404,1.27786079243741,6.54727551776691,4.64389231812459,3.77323708612343,1.97808179366092,2.92451387658699,5.26096004030063,1.90059418094546,5.445500855711,2.38609864044422,2.6764676910453,2.58588540084175
2022,5.29728373412017,5.89171752057422,16.1819558948452,6.065631483708,8.54735078948028,5.26832542370153,8.06696246588223,5.787632076873,4.14232319860571,16.5635788089532,5.35811717897103,2.94721692911406,5.15290229876841,7.84684474420834,9.46328495343633,14.4892789512247,6.58226428309383,2.97640056228872,16.4939595567489,5.68354663317177,12.7682484172308,5.27357427297611,5.53522393876365,10.7511637532531,4.99841094383456,13.3510297351354,7.48406067483694,6.48269750268742,5.9945645099618
